Gust1(5.7Hz),z/s=0.025,z/s=0.075,z/s=0.125,z/s=0.175,z/s=0.225,z/s=0.275,z/s=0.325,z/s=0.375,z/s=0.425,z/s=0.475,z/s=0.525,z/s=0.575,z/s=0.625,z/s=0.675,z/s=0.725,z/s=0.775,z/s=0.825,z/s=0.875,z/s=0.925,z/s=0.975
0.01941,0.32674578520354,0.332668647096554,0.362959782984656,0.395487312045426,0.421660889764734,0.430392194132706,0.436578849576513,0.44128855144393,0.448034325912108,0.454374754001911,0.455266868989891,0.440180523877697,0.44173926865097,0.44116632130615,0.436705454156114,0.418819060714903,0.398885787133421,0.375201585295282,0.326105736242528,NaN

0.05941,0.304805913185445,0.339333297186384,0.393603704221677,0.430900067423146,0.464710425275737,0.473719552856158,0.47551572308062,0.482819324089081,0.486403823054427,0.490989865865616,0.492165314002177,0.470023286599652,0.469934710558738,0.470447476123783,0.465564736485544,0.448352188555827,0.420643339233725,0.398176586634543,0.346788855389481,NaN
0.09941,0.2994142380745,0.346119641878494,0.41923371336959,0.463799420724641,0.499181230744117,0.511591459794272,0.51731665700154,0.518864487634961,0.520835363199119,0.526906501080238,0.524304194392932,0.497310023565659,0.496795108562023,0.494316022732955,0.490398474079151,0.471051924985404,0.443032299180803,0.410993007296055,0.356892114276079,NaN
0.13941,0.32208694656665,0.378076344077726,0.450814518446002,0.497963222727197,0.531253047025888,0.54686679644981,0.551423133787038,0.550045008551688,0.550900112099709,0.554652945274675,0.551897962148838,0.521644861342132,0.519904844783591,0.518071320300997,0.512088762753069,0.491610854942938,0.459646754835944,0.422165203789049,0.3658944511056,NaN
0.17941,NaN,0.403701206580036,0.464279434279768,0.521487401201212,0.556266648394881,0.575507567842863,0.577067024897871,0.575568448391658,0.575005042721379,0.578748538297932,0.571064967961786,0.542991762229853,0.53828853625694,0.534734963794909,0.523344256966651,0.508598775892924,0.469295004864829,0.43372774141265,0.376168365355722,NaN
0.21941,NaN,0.420037178039426,0.475152329036897,0.535057813232752,0.57037922624818,0.589511005877468,0.594024075519924,0.591833625700711,0.591319730082844,0.59863067287546,0.584372506011706,0.553039959538749,0.548129553987793,0.542501899826538,0.532306193545871,0.515127166159798,0.475424328013904,0.439242660704593,0.386092901221131,NaN
0.25941,NaN,0.440076383088858,0.495478129362666,0.550355230198594,0.58009703647888,0.599022221687694,0.604786925418623,0.601623884002312,0.60156935076117,0.605007086041915,0.595037992020282,0.559095788902181,0.550487784576757,0.546980244128844,0.536843445805424,0.514009366962765,0.47657401914034,0.434989841275766,0.380823126747556,NaN
0.29941,0.418590742100777,0.415767550378617,0.488165005653184,0.551251931944281,0.585489881901432,0.595433076023768,0.599049238237456,0.598568947360228,0.596502418092834,0.596310547681322,0.585290772562496,0.551401337200976,0.541643914795462,0.537915873640822,0.524653974760767,0.502193398561325,0.468350384061474,0.42753598541195,0.36822364010033,NaN
0.33941,0.371990395004019,0.390668332519992,0.476824097025015,0.536829762901354,0.570088666842706,0.577965446518868,0.585887891733698,0.585450973975217,0.579689263317655,0.580156810768335,0.565902438941564,0.534495701098797,0.526759736304976,0.519402967018457,0.504013861919062,0.484711025077682,0.452152740143039,0.41418124162194,0.358676122235013,NaN
