Gust2(3.2Hz),z/s=0.025,z/s=0.075,z/s=0.125,z/s=0.175,z/s=0.225,z/s=0.275,z/s=0.325,z/s=0.375,z/s=0.425,z/s=0.475,z/s=0.525,z/s=0.575,z/s=0.625,z/s=0.675,z/s=0.725,z/s=0.775,z/s=0.825,z/s=0.875,z/s=0.925,z/s=0.975
0.03565,0.586570454223445,0.606835240806633,0.689847305594449,0.749322008832448,0.773480447850872,0.783573424933998,0.785798850178772,0.785636073471494,0.785586939024372,0.783695579705606,0.787491387915022,0.78052212068082,0.765491498361553,0.757583804488116,0.729582261893841,0.701707735605272,0.679452085682302,0.633774682524294,0.568803692033239,NaN
0.07565,0.583944990183361,0.590225916814747,0.694935250202176,0.764483325135385,0.787504755244517,0.797702250747081,0.800648529030771,0.79849228115361,0.793012554269709,0.789540771585751,0.793302522370254,0.790103157487994,0.769000914069452,0.758759683469224,0.732830439266903,0.700188322290904,0.672448201532195,0.626964240577398,0.559955526606648,NaN
0.11565,0.587148639804488,0.595403793226122,0.70168931232301,0.775949705491155,0.800866766711643,0.812327042485165,0.815741910125053,0.809639083948111,0.801934689976596,0.796890433261725,0.796540661859223,0.792517637127437,0.77460960174847,0.758925934978956,0.73360549802119,0.699820086863128,0.669228126639061,0.623121668984049,0.558937568786198,0.513924559157905
0.15565,0.584607122747908,0.616768647060487,0.711752527654634,0.785104445111418,0.806816888908986,0.817623124357709,0.821192538496263,0.815839650061727,0.806326611771166,0.800470723610986,0.796061573724217,0.788243226343758,0.778638532881358,0.760460443123596,0.731403033894404,0.695600902793093,0.665781199301148,0.619430301037804,0.554756771101289,0.508367273104597
0.19565,NaN,0.615834530701559,0.701114983125432,0.778562661894456,0.809319577595146,0.81861509264735,0.823815271096651,0.815175298540494,0.805832729798919,0.797704546968087,0.792698652011182,0.782590836591541,0.776496472918142,0.757732955125374,0.726488301053221,0.692291752527639,0.656996392961909,0.612942124710097,0.54602009550148,0.498353833479422
0.23565,NaN,0.624084379600237,0.703672014941051,0.777082091607388,0.806043628254944,0.816676075717163,0.82043705997725,0.81257907452277,0.801348194335764,0.792693618450569,0.788250844958558,0.780729440974202,0.778853345417935,0.756919112518642,0.71892766882828,0.685182053556485,0.646786843146946,0.607157538827069,0.542612400898182,0.496426329632746
0.27565,NaN,0.60978072145478,0.696756674667441,0.773003458902012,0.797872326566937,0.806762963443801,0.815073424845152,0.804001529242563,0.792931345974608,0.78703590182769,0.783227150831538,0.777823187190679,0.769255230158979,0.753831247023479,0.714440602795063,0.674784584511622,0.633327943813909,0.604993394432522,0.549434975282816,0.496950970654827
0.31565,NaN,0.608992477681231,0.690969332019553,0.762159827277469,0.78524312466727,0.794490639805469,0.800576887273802,0.791968443244207,0.779014743156879,0.777509401909191,0.779169020419086,0.769862143382673,NaN,0.742943892533446,0.705142512420416,0.66374514741342,0.628162389506789,0.599283665516895,0.544155186158795,0.492633522239145
0.35565,NaN,0.616733370542375,0.692405830962683,0.754168048744711,0.771212280677663,0.782554077261579,0.784516311867616,0.777742169807382,0.767213471716433,0.769275238964427,0.768791284480564,0.759715490856311,NaN,0.733781374064983,0.699501398511139,0.652198141962862,0.623797680290898,0.598837062473315,0.543997883240137,0.493007445963567
0.39565,NaN,0.641633143242069,0.700391363518135,0.745635605810863,0.753958064887583,0.763374692477109,0.770659034644565,0.764558474270068,0.758420432072875,0.761725739792615,0.76129192740928,0.743738677383881,NaN,0.724288145930996,0.696641998170679,0.660791719610288,0.632666244457313,0.606789258956754,0.546728841201197,0.497497145220092
