Phase_(f*t)[-],F_lift2[Newton],F_inertia2[Newton],Fy_f2(3.2Hz)[Newton]
0.03565,7.9152462827591,-2.15697363222406,5.75827265053504
0.07565,7.93983096255347,-1.84806748830291,6.09176347425057
0.11565,7.99500960832292,-1.41362413489108,6.58138547343184
0.15565,7.99917418094345,-0.883338095747194,7.11583608519625
0.19565,7.94100331915657,-0.286151892167265,7.65485142698931
0.23565,7.89348544885689,0.315100387468473,8.20858583632537
0.27565,7.78591449537198,0.880508480986433,8.66642297635841
0.31565,7.66929791908333,1.35985276853524,9.02915068761857
0.35565,7.57915494361471,1.74221040006255,9.32136534367726
0.39565,7.5277527009041,2.00778656240357,9.53553926330767
0.43565,7.52002511508566,2.16132471636852,9.68134983145418
0.47565,7.51492206652607,2.20037335287424,9.71529541940031
0.51565,7.50104924584828,2.12927166525464,9.63032091110292
0.55565,7.53816612493003,1.94817549166064,9.48634161659067
0.59565,7.55305945759194,1.64694096683338,9.20000042442532
0.63565,7.53804823977468,1.23330621116858,8.77135445094325
0.67565,7.54962060582557,0.719556498865809,8.26917710469137
0.71565,7.5697309515371,0.137802452456322,7.70753340399342
0.75565,7.58091041137407,-0.466865582919826,7.11404482845425
0.79565,7.63777452724856,-1.0464648938792,6.59130963336936
0.83565,7.68691420755133,-1.55223535693083,6.1346788506205
0.87565,7.67917289961987,-1.95009251546188,5.72908038415799
0.91565,7.75152864695557,-2.21732793846909,5.53420070848648
0.95565,7.83158059031531,-2.34300547068132,5.488575119634
0.99565,7.88719066513853,-2.32378062173612,5.56341004340241
