Phase_(f*t)[-],Fy_f1(5.7Hz)[Newton],Fy_f1_std[Newton],Fy_f2(3.2Hz)[Newton],Fy_f2_std[Newton]
0.02,3.91532606731391,0.662701298219491,5.40284249429855,0.698645425342892
0.06,4.18069508099117,0.784616698808109,5.67498252751649,0.558036414491049
0.1,4.46517851923727,0.515174294413106,5.89191814757574,0.651926203416717
0.14,4.57760178530035,0.505557818401336,6.68326124322492,0.564576858034336
0.18,4.81680267967217,0.443758876130257,7.35594463296595,0.483180319180962
0.22,4.78634725152319,0.588838187602036,7.65341482313593,0.706952696685213
0.26,4.50756587598186,0.604333652492653,8.2364919493094,0.669796117848492
0.3,4.16471800975826,0.820350463306728,8.74514061783247,0.633857222380789
0.34,4.19765390504216,0.72456837693036,9.16985051882934,0.620131828248395
0.38,4.64488255123447,0.863685214385905,9.60900148803561,0.563436386826579
0.42,4.90447967183709,0.644995040935523,9.58995513142246,0.712647029774859
0.46,5.18312114863842,0.490480731943106,9.68056467423052,0.775744224526748
0.5,4.99588382950387,0.582139978952513,9.76381819765798,0.536850259124437
0.54,4.50370154679641,0.570067109934789,9.28423201491593,0.449812815332248
0.58,4.33030551372921,0.486638613764563,8.95237261829222,0.632213442070667
0.62,3.83830652740828,0.639946696873648,8.89551301658125,0.573753395075186
0.66,3.99324892460985,0.726043712388251,7.95733694150315,0.715643235960549
0.7,3.74014337668527,0.645529581779596,7.57569810055318,0.430101658397326
0.74,3.90468659355981,0.560213941774708,7.25405816485256,0.539346917648609
0.78,4.1477057742449,0.353488667625266,6.48561005136934,0.829655613070158
0.82,4.14078491937663,0.552855929549222,5.85332906787135,0.643498777180104
0.86,3.96088273526643,0.656840268722173,5.59349614056011,0.522426987395054
0.9,3.77970163284909,0.681757395185951,5.06995816625225,0.596400930887536
0.94,3.68996173626051,0.866420993792099,5.0610603911435,0.597964127064423
0.98,3.58676807653466,0.767488299241872,5.34167655809875,0.522677671582064
