Phase_(f*t)[-],F_lift1[Newton],F_inertia1[Newton],Fy_f1(5.7Hz)[Newton]
0.01941,4.48060233237914,0.00589057925448678,4.48649291163363
0.05941,4.79145480447393,-0.38426769192274,4.40718711255119
0.09941,5.06554469713973,-0.75988648396785,4.30565821317188
0.13941,5.34234152479959,-1.08225435122668,4.26008717357291
0.17941,5.56779206989141,-1.33579351566464,4.23199855422677
0.21941,5.69794054801941,-1.51227698424044,4.18566356377897
0.25941,5.80775807976244,-1.58458736806811,4.22317071169433
0.29941,5.71381685787782,-1.56421369530183,4.14960316257599
0.33941,5.52132465460173,-1.44472560064775,4.07659905395398
0.37941,5.24466025449005,-1.22114442916526,4.02351582532478
0.41941,4.99600769842723,-0.93644744083367,4.05956025759356
0.45941,4.71708231517648,-0.578410576374307,4.13867173880217
0.49941,4.33036534780215,-0.197199015890991,4.13316633191116
0.53941,3.93243302605315,0.200990413991544,4.13342344004469
0.57941,3.60519536413495,0.591735019832049,4.196930383967
0.61941,3.33637150524643,0.939168012429543,4.27553951767597
0.65941,3.1098554738753,1.22039312969607,4.33024860357137
0.69941,2.93792419385637,1.4294176713806,4.36734186523696
0.73941,2.84898378429774,1.54079940589041,4.38978319018814
0.77941,2.89147061435957,1.57294460380239,4.46441521816195
0.81941,3.01242182421271,1.49872625906283,4.51114808327555
0.85941,3.22393397488339,1.33534824015107,4.55928221503445
0.89941,3.48393005273121,1.0866536338938,4.57058368662501
0.93941,3.77223307143109,0.762413367834708,4.5346464392658
0.97941,4.12174543631401,0.400122572217265,4.52186800853128
