spanwise coordinate,deflection
0.071999967,0.001877739
0.137999987,0.006556608
0.207999984,0.013188075
0.276000012,0.021901223
0.346999994,0.031912955
0.409999946,0.041924761
0.477999974,0.053982784
0.546000002,0.067785119
0.611999984,0.081997488
0.679999936,0.096057828
0.747999964,0.110023195
0.813999946,0.123974267
0.883000035,0.138360684
0.938999941,0.149940644
0.983000031,0.159298661
