phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm],d_mat_sin_15[mm]
0.00941,0.64660688423691,2.02206071579926,4.04919039257013,6.57184075031383,9.54793600034585,12.4765334394274,16.1065801333651,20.134602130365,24.7157991989978,29.0130038962408,33.1725721775057,37.2934738966909,41.5553469563981,45.0566706495911,47.8722798081087
0.01941,0.645764312902651,2.01220470489733,4.01742696111083,6.51091278855412,9.45599980153183,12.3442610071388,15.9271852679778,19.9067776535316,24.4372075182804,28.6744788159387,32.7728015256895,36.8305403334711,41.0272776154319,44.4735272249999,47.2443059465885
0.02941,0.645081311730483,2.0026440333473,3.98633581537214,6.45106289691683,9.3656598151721,12.2141850363045,15.7505083873547,19.680249006437,24.1578054386131,28.3348589111758,32.3717971027545,36.3663286572769,40.4978015773347,43.888927086527,46.6147366480885
0.03941,0.644560576213999,1.9934164327519,3.95603965790208,6.39252727558144,9.27727257192042,12.0868188773554,15.5772467544276,19.4559101941601,23.8786956323576,27.9954845065587,31.9711414899565,35.9026708995161,39.9690084421342,43.3051773838404,45.986056535007
0.04941,0.644204161458381,1.984558320235,3.92665805379319,6.33553693790298,9.1911868958456,11.9626651863328,15.4080841537058,19.2346465795025,23.6009796184059,27.6576949578169,31.5724158919572,35.4413969055335,39.4429851147524,42.7245819103269,45.3607467205336
0.05941,0.644013474069838,1.97610465471983,3.89830695881371,6.28031679870787,9.10774252778231,11.8422139411347,15.2436881926915,19.0173313888653,23.3257534149889,27.322823365978,31.1771938965315,34.9843271130473,38.9218075689453,42.1494320110715,44.7412750168292
0.06941,0.643989266604377,1.96808879896205,3.87109826178313,6.22708478665781,9.02726878452919,11.725940507797,15.0847076671373,18.8048222660242,23.0541032141925,26.9921913162266,30.7870352643355,34.5332653677131,38.4075326543828,41.5819975399657,44.1300861956986
0.07941,0.644131634597804,1.96054238788224,3.84513934299818,6.17605098418498,8.95008325918589,11.6143037644408,14.9317700005464,18.5979578874008,22.787101095254,26.6671036622118,30.4034797732439,34.0899918041693,37.9021899792029,41.0245179016306,43.5295923401933
0.08941,0.644440016188691,1.95349520371731,3.8205326504518,6.12741679839261,8.87649056775825,11.5077442902901,14.7854787680182,18.3975546521903,22.5258007935553,26.3488433763854,30.0280411415504,33.6562558206587,37.4077739000753,40.4791932135106,42.9421633252213
0.09941,0.644913194335786,1.94697505848361,3.79737529551772,6.08137416619318,8.80678114697802,11.406682626907,14.6464113142134,18.2044034604064,22.2712335420104,26.0386664866965,29.6622010540125,33.2337691749532,36.9262356513873,39.9481756230146,42.370117464734
